asset_no,title,doc_type,modality,authority_level,source_url,license_note,local_file,split
cp-t1dm-2009,1型糖尿病临床路径（2009年版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20090968.pdf,卫生部办公厅发布，yaopinnet 镜像,pathways/cp_t1dm_2009.pdf,build
cp-t2dm-county-2016,2型糖尿病临床路径（2016年县级医院版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20160430.pdf,国卫办医函〔2016〕1315号附件，yaopinnet 镜像,pathways/cp_t2dm_county_2016.pdf,build
cp-t1dm-county-2016,1型糖尿病临床路径（2016年县级医院版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20160429.pdf,国卫办医函〔2016〕1315号附件，yaopinnet 镜像,pathways/cp_t1dm_county_2016.pdf,build
cp-t2dm-highrisk-2016,2型糖尿病（伴高危因素）临床路径（2016年版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20160432.pdf,国卫办医函〔2016〕1315号附件，yaopinnet 镜像,pathways/cp_t2dm_highrisk_2016.pdf,build
cp-t2dm-compl-2016,2型糖尿病伴多并发症临床路径（2016年版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20160433.pdf,国卫办医函〔2016〕1315号附件，yaopinnet 镜像,pathways/cp_t2dm_compl_2016.pdf,build
cp-neuropathy-2016,糖尿病性周围神经病变临床路径（2016年版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20160434.pdf,国卫办医函〔2016〕1315号附件，yaopinnet 镜像,pathways/cp_neuropathy_2016.pdf,build
cp-foot-2016,糖尿病足病临床路径（2016年版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20160436.pdf,国卫办医函〔2016〕1315号附件，yaopinnet 镜像,pathways/cp_foot_2016.pdf,build
cp-hypoglycemia-2016,低血糖症临床路径（2016年版）,policy,text,1,https://www.yaopinnet.com/tools/linchuanglujing/xy/xy20160437.pdf,国卫办医函〔2016〕1315号附件，yaopinnet 镜像,pathways/cp_hypoglycemia_2016.pdf,build
std-glucometer-ws781,便携式血糖仪临床操作和质量管理指南（WS/T 781-2021）,lab_report,text,1,https://www.waizi.org.cn/bz/112890.html,国家卫健委卫生行业标准（2021-04-19发布）,lab_standards/ws_t781_2021_glucometer.html,build
std-glucose-monitor-2021,中国血糖监测临床应用指南（2021年版）,lab_report,text,2,https://www.hnysfww.com/data/article/1636670471627149593.pdf,中华医学会糖尿病学分会·中华糖尿病杂志2021;13(10),lab_standards/glucose_monitor_guide_2021.pdf,build
edu-core-2020,糖尿病防治核心信息（2020联合国糖尿病日）,edu_graphic,text,1,https://www.cma.org.cn/art/2020/11/17/art_68_36576.html,国家卫健委发布·中华医学会官网转发,public_edu/edu_core_info_cma.html,build
edu-insulin-2022,胰岛素到底是个啥（学会科普）,edu_graphic,text,2,https://www.cma.org.cn/art/2022/7/25/art_4584_46638.html,中华医学会科学普及部,public_edu/edu_insulin_cma.html,build
edu-bgm-myths-2025,糖尿病患者自测血糖的七个误区,edu_graphic,text,1,https://www.chinacdc.cn/jkkp/mxfcrb/fpdx/202501/t20250108_303744.html,中国疾控中心慢病科普,public_edu/edu_bgm_myths_cdc.html,build
edu-discern-2023,三招教您辨别科学的糖尿病防治信息,edu_graphic,text,1,https://www.chinacdc.cn/jkkp/mxfcrb/fpdx/202408/t20240823_295116.html,中国疾控中心供稿,public_edu/edu_discern_info_cdc.html,build
edu-lifestyle-2023,综合生活方式干预 预防糖尿病的发生,edu_graphic,text,1,https://www.chinacdc.cn/jkkp/mxfcrb/fpdx/202408/t20240823_295117.html,中国疾控中心慢病中心,public_edu/edu_lifestyle_cdc.html,build
edu-foot-2026,糖尿病足科普,edu_graphic,text,1,https://www.chinacdc.cn/jkkp/mxfcrb/fpdx/202601/t20260119_314732.html,中国疾控中心,public_edu/edu_foot_cdc.html,blind
edu-basic-dzjkb,糖尿病科普知识,edu_graphic,text,4,https://www.dzjkb.org.cn/dazhongkepu/dazhongkepu/ba43132591a929cc591707761dbab271.html,大众健康报·成都温江区人民医院供稿,public_edu/edu_basic_dzjkb.html,blind
edu-who-factsheet,糖尿病（WHO实况报道中文版）,edu_graphic,text,1,https://www.who.int/zh/news-room/fact-sheets/detail/diabetes,世界卫生组织,public_edu/edu_who_factsheet.html,build
drug-metf-tab,盐酸二甲双胍片（格华止）说明书,drug_label,text,3,https://ypk.39.net/507707/manual/,中美上海施贵宝，国药准字H20023371,drug_labels/metformin_hcl_tab_gehuazhi.html,build
drug-metf-er-gxz,盐酸二甲双胍缓释片（格华止）说明书,drug_label,text,3,https://ypk.39.net/2009048/manual,Bristol-Myers Squibb 原研缓释片,drug_labels/metformin_hcl_er_gehuazhi.html,build
drug-metf-er-gn,盐酸二甲双胍缓释片（国产）说明书,drug_label,text,3,https://db.yaozh.com/instruct/7716935220000068.html,国药准字H20080251，药智网说明书库,drug_labels/metformin_hcl_er_domestic.html,build
drug-glimep,格列美脲片（亚莫利）说明书,drug_label,text,3,https://www.sanofi.cn/assets/dot-cn/pages/docs/products/prescription-products/yamoli-cn-20260107.pdf,赛诺菲中国官网PDF（2026-01修订版），国药准字H20057673,drug_labels/glimepiride_yamoli.pdf,blind
drug-gliclazide,格列齐特缓释片（达美康）说明书,drug_label,text,3,https://ypk.39.net/2008213/manual,法国施维雅药厂进口原研,drug_labels/gliclazide_mr_diamicon.html,build
drug-glipizide,格列吡嗪片（美吡达）说明书,drug_label,text,3,https://ypk.39.net/507705/manual,海南赞邦制药，国药准字H10930076,drug_labels/glipizide_meibida.html,build
drug-pioglita,盐酸吡格列酮片（可成）说明书,drug_label,text,3,https://ypk.39.net/724977/manual,上海朝晖药业，国药准字H20070060,drug_labels/pioglitazone_kecheng.html,blind
drug-acarbose,阿卡波糖片（拜唐苹）说明书,drug_label,text,3,https://ypk.39.net/498311/manual,拜耳医药保健，国药准字H19990205,drug_labels/acarbose_baitangping.html,blind
drug-voglibose,伏格列波糖片（倍欣）说明书,drug_label,text,3,https://ypk.39.net/631758/manual/,天津武田药品，国药准字H20010308,drug_labels/voglibose_beixin.html,blind
drug-miglitol,米格列醇片说明书,drug_label,text,3,https://ypk.39.net/1000007957/manual,山东新时代药业，国药准字H20113504,drug_labels/miglitol_tab.html,build
drug-sita,磷酸西格列汀片（捷诺维）说明书,drug_label,text,3,https://ypk.39.net/923574/manual/,默沙东进口，国药准字J20140095,drug_labels/sitagliptin_januvia.html,blind
drug-saxa,沙格列汀片（安立泽）说明书,drug_label,text,3,https://ypk.39.net/2009006/manual/,BMS/AZ，进口原研,drug_labels/saxagliptin_onglyza.html,build
drug-lina,利格列汀片（欧唐宁）说明书,drug_label,text,3,https://ypk.39.net/2033115/manual,勃林格殷格翰，进口原研,drug_labels/linagliptin_trajenta.html,blind
drug-vilda,维格列汀片（佳维乐）说明书,drug_label,text,3,https://ypk.39.net/2008840/manual,诺华，进口原研,drug_labels/vildagliptin_galvus.html,build
drug-dapa-az,达格列净片（安达唐）说明书,drug_label,text,3,https://ypk.39.net/2308986/manual/,阿斯利康进口，国药准字J20170040,drug_labels/dapagliflozin_forxiga.html,blind
drug-dapa-fld,达格列净片（孚来达）说明书,drug_label,text,3,https://cn.hspharm.com/upload/file/2023/12/05/3a0c06786ac84a92b7aaed6892a9568f.pdf,豪森药业官网PDF（2023-11修订版）,drug_labels/dapagliflozin_fulaida.pdf,blind
drug-empa,恩格列净片（欧唐静）说明书,drug_label,text,3,https://ypk.39.net/1000018964/manual/,上海勃林格殷格翰，国药准字HJ20170351,drug_labels/empagliflozin_jardiance.html,build
drug-cana,卡格列净片（怡可安）说明书,drug_label,text,3,https://db.yaozh.com/instruct/44275.html,强生进口，H20170375/74，药智网,drug_labels/canagliflozin_invokana.html,build
drug-lira,利拉鲁肽注射液（诺和力）说明书,drug_label,text,3,https://ypk.39.net/2309131/manual,诺和诺德，国药准字J20160037,drug_labels/liraglutide_victoza.html,build
drug-semaglu,司美格鲁肽注射液（诺和泰）说明书,drug_label,text,3,https://ypk.39.net/2310026/manual/,诺和诺德，国药准字SJ20210015,drug_labels/semaglutide_ozempic.html,build
drug-dula,度拉糖肽注射液（度易达）说明书,drug_label,text,3,https://www.lillymedical.cn/books/%E5%BA%A6%E6%8B%89%E7%B3%96%E8%82%BD%E6%B3%A8%E5%B0%84%E6%B6%B2%E8%AF%B4%E6%98%8E%E4%B9%A6.pdf,礼来医学官网PDF，S20190021/22,drug_labels/dulaglutide_trulicity.pdf,build
drug-exena,艾塞那肽注射液药品信息（百泌达）,drug_label,text,3,https://www.dayi.org.cn/drug/1152617.html,中国医药信息查询平台（药监局南方所主办）通用药品词条，降级源：独立产品说明书页未找到,drug_labels/exenatide_dayi_entry.html,build
drug-aspart30,门冬胰岛素30注射液（诺和锐30）说明书,drug_label,text,3,https://ypk.39.net/2002712/manual/,诺和诺德，国药准字J20100037,drug_labels/insulin_aspart30_novomix.html,blind
drug-glargine,重组甘精胰岛素注射液（长秀霖）说明书,drug_label,text,3,https://ypk.39.net/859082/manual,甘李药业，国药准字S20050051,drug_labels/insulin_glargine_changxiulin.html,build
drug-degludec,德谷胰岛素注射液说明书,drug_label,text,3,https://db.yaozh.com/instruct/3604898153449600.html,诺和诺德，国药准字S20227007，药智网,drug_labels/insulin_degludec.html,blind
drug-detemir,地特胰岛素注射液（诺和平）说明书,drug_label,text,3,https://ypk.39.net/2033732/manual,诺和诺德，国药准字J20140106,drug_labels/insulin_detemir_levemir.html,build
drug-repagli,瑞格列奈片（诺和龙）说明书,drug_label,text,3,https://ypk.39.net/504369/manual/,诺和诺德，进口原研,drug_labels/repaglinide_novonorm.html,build
drug-nategli,那格列奈片（贝加）说明书,drug_label,text,3,https://ypk.39.net/773209/manual/,正大天晴，国药准字H20060661,drug_labels/nateglinide_beijia.html,build
